ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
1537508323,2025-05-28T07:30:54.329000,2025-05-28T07:31:15.799000,sell,0.03,0.03,XAUUSD,3310.439,3311.443,3311.807,,-0.33,0,-3.01,,,user
1537368720,2025-05-28T06:02:43.294000,2025-05-28T06:09:42.638000,sell,0.04,0.04,USOIL,60.866,60.865,60.931,60.521,-0.5,0,0.04,,,user
1530939888,2025-05-23T10:02:24.289000,2025-05-23T10:07:58.625000,sell,0.03,0.03,XAUUSD,3327.747,3324.3630000000003,3329.427,3323.03,-0.33,0,10.15,,,user
1529110554,2025-05-22T11:46:12.030000,2025-05-22T11:50:23.616000,buy,0.03,0.03,XAUUSD,3300.378,3303.127,3298.825,3306.536,-0.33,0,8.25,,,user
1528242112,2025-05-22T04:02:09.408000,2025-05-22T04:02:24.316000,sell,0.03,0.03,XAUUSD,3335.161,3334.661,3336.228,,-0.33,0,1.5,,,user
1526520954,2025-05-21T07:16:06.326000,2025-05-21T07:21:09.867000,sell,0.03,0.03,XAUUSD,3311.512,3312.859,3313.24,3304.431,-0.33,0,-4.04,,,user
1524650841,2025-05-20T09:04:23.465000,2025-05-20T10:00:04.930000,buy,0.04,0.04,BTCUSD,105243.56,105286.13,105158.53,105621.1,-0.64,0,1.71,,,user
1523426200,2025-05-19T15:03:31.244000,2025-05-19T15:09:43.303000,buy,0.04,0.04,BTCUSD,104406.28,104550.39,104271.62,104802.57,-0.64,0,5.77,,,user
1522992379,2025-05-19T12:16:39.239000,2025-05-19T12:22:37.839000,sell,0.04,0.04,BTCUSD,102592.02,102483.79000000001,102652.72,102216.07,-0.64,0,4.33,,,user
1519889699,2025-05-16T08:17:32.560000,2025-05-16T08:17:39.922000,sell,0.03,0.03,XAUUSD,3197.267,3199.184,3199.184,3190.844,-0.33,0,-5.75,,,sl
1519845613,2025-05-16T08:01:29.452000,2025-05-16T08:06:49.250000,sell,0.04,0.04,BTCUSD,103691.48,103572.6,103684.11,,-0.64,0,4.76,,,user
1518702997,2025-05-15T15:34:37.896000,2025-05-15T15:43:04.670000,sell,0.05,0.05,AUDUSD,0.63916,0.63963,0.63997,0.63659,-0.35,0,-2.35,,,user
1517834250,2025-05-15T08:47:11.154000,2025-05-15T08:48:13.288000,buy,0.03,0.03,XAUUSD,3159.598,3160.015,3158.27,3166.048,-0.33,0,1.26,,,user
1515179033,2025-05-14T06:04:35.585000,2025-05-14T06:12:54.062000,buy,0.03,0.03,XAUUSD,3234.422,3234.223,3234.445,3239.045,-0.33,0,-0.6,,,sl
1513049188,2025-05-13T05:11:05.469000,2025-05-13T05:13:13.839000,buy,0.02,0.02,XAUUSD,3253.608,3258.347,3252.687,3259.429,-0.22,0,9.47,,,user
1512351592,2025-05-12T17:02:01.648000,2025-05-12T17:02:43.110000,sell,0.02,0.02,XAUUSD,3223.357,3222.8070000000002,3225.265,,-0.22,0,1.1,,,user
